protein_id	transcript_id	tpm	n_curated_matches	curated_terms	sp_prob	tm_count	gene_name	diamond_subject	diamond_sciname	diamond_pident	pfam_domains	eggnog_desc	cazy	go_terms
TRINITY_DN27699_c0_g1_i1.p1	TRINITY_DN27699_c0_g1_i1	2.6638	1	ef_hand_ca_binding	1.0	0	XP_054268533.1 calcium-binding protein P-like isof	XP_054268533.1	Macrosteles quadrilineatus	41.2				
TRINITY_DN19947_c0_g1_i1.p1	TRINITY_DN19947_c0_g1_i1	2.2371	1	phospholipase	1.0	0	XP_046680570.1 putative phospholipase B-like 2 [Ho	XP_046680570.1	Homalodisca vitripennis	50.4	Phospholip_B(PF04916.19)	phospholipase		GO:0000323,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005764,GO:0005773,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0044424,GO:0044444,GO:0044464
TRINITY_DN13831_c0_g1_i12.p1	TRINITY_DN13831_c0_g1_i12	2.0371	1	ef_hand_ca_binding	1.0	0	XP_054275041.1 nucleobindin-2 isoform X1 [Macroste	XP_054275041.1	Macrosteles quadrilineatus	69.5	NUCB1_N(PF25434.1);EF-hand_7(PF13499.13);EF-hand_6(PF13405.13);EF-hand_5(PF13202.13);EF-hand_1(PF00036.39)	Calcium ion binding		GO:0000139,GO:0001965,GO:0002791,GO:0002792,GO:0003674,GO:0003676,GO:0003677,GO:0005102,GO:0005126,GO:0005164,GO:0005488,GO:0005509,GO:0005515,GO:0005575,GO:0005576,GO:0005615,GO:0005622,GO:0005623,GO:0005634,GO:0005635,GO:0005640,GO:0005737,GO:0005768,GO:0005769,GO:0005783,GO:0005788,GO:0005791,GO:0005793,GO:0005794,GO:0005795,GO:0005797,GO:0005798,GO:0005801,GO:0005802,GO:0005829,GO:0005886,GO:0006464,GO:0006807,GO:0006873,GO:0006874,GO:0006875,GO:0006950,GO:0006952,GO:0008150,GO:0008152,GO:0009605,GO:0009607,GO:0009617,GO:0009636,GO:0009719,GO:0009725,GO:0009743,GO:0009746,GO:0009749,GO:0009893,GO:0009966,GO:0009968,GO:0009987,GO:0009991,GO:0010033,GO:0010243,GO:0010565,GO:0010646,GO:0010647,GO:0010648,GO:0010817,GO:0012505,GO:0016020,GO:0019216,GO:0019217,GO:0019222,GO:0019538,GO:0019725,GO:0019867,GO:0019898,GO:0023051,GO:0023056,GO:0023057,GO:0030003,GO:0031090,GO:0031312,GO:0031323,GO:0031325,GO:0031410,GO:0031667,GO:0031965,GO:0031967,GO:0031968,GO:0031974,GO:0031975,GO:0031982,GO:0031984,GO:0031985,GO:0032095,GO:0032096,GO:0032098,GO:0032099,GO:0032101,GO:0032102,GO:0032104,GO:0032105,GO:0032107,GO:0032108,GO:0032368,GO:0032370,GO:0032386,GO:0032580,GO:0032813,GO:0032879,GO:0032880,GO:0033157,GO:0034284,GO:0034698,GO:0036211,GO:0042175,GO:0042221,GO:0042493,GO:0042592,GO:0042594,GO:0042742,GO:0043167,GO:0043169,GO:0043170,GO:0043207,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0043233,GO:0043412,GO:0043434,GO:0043687,GO:0043949,GO:0043951,GO:0044237,GO:0044238,GO:0044260,GO:0044267,GO:0044421,GO:0044422,GO:0044424,GO:0044425,GO:0044428,GO:0044431,GO:0044432,GO:0044444,GO:0044446,GO:0044464,GO:0044752,GO:0045595,GO:0045596,GO:0045598,GO:0045599,GO:0045834,GO:0045923,GO:0046320,GO:0046321,GO:0046626,GO:0046627,GO:0046872,GO:0046883,GO:0046887,GO:0046888,GO:0048518,GO:0048519,GO:0048522,GO:0048523,GO:0048583,GO:0048585,GO:0048878,GO:0050789,GO:0050793,GO:0050794,GO:0050801,GO:0050829,GO:0050896,GO:0051046,GO:0051047,GO:0051048,GO:0051049,GO:0051050,GO:0051051,GO:0051093,GO:0051223,GO:0051704,GO:0051707,GO:0055065,GO:0055074,GO:0055080,GO:0055082,GO:0060341,GO:0062012,GO:0062013,GO:0065007,GO:0065008,GO:0070013,GO:0070092,GO:0070093,GO:0070201,GO:0071704,GO:0071944,GO:0072503,GO:0072507,GO:0072718,GO:0080090,GO:0090087,GO:0090276,GO:0090278,GO:0090498,GO:0097159,GO:0097327,GO:0097708,GO:0098542,GO:0098547,GO:0098552,GO:0098576,GO:0098588,GO:0098771,GO:0098791,GO:0098805,GO:1900076,GO:1900077,GO:1901142,GO:1901363,GO:1901564,GO:1901652,GO:1901698,GO:1901700,GO:1902531,GO:1902532,GO:1903530,GO:1903531,GO:1903532,GO:1903533,GO:1903827,GO:1905952,GO:1905954,GO:1990680,GO:2000843,GO:2000845
TRINITY_DN11847_c0_g1_i1.p1	TRINITY_DN11847_c0_g1_i1	1.9941	1	mucin	1.0	1	XP_054257445.1 mucin-2-like [Macrosteles quadrilin	XP_054257445.1	Macrosteles quadrilineatus	42.9	PK_Tyr_Ser-Thr(PF07714.24);Pkinase(PF00069.32)	Tyrosine kinase, catalytic domain		GO:0000003,GO:0001667,GO:0002064,GO:0002065,GO:0002066,GO:0003006,GO:0003674,GO:0003824,GO:0004672,GO:0004713,GO:0005575,GO:0005623,GO:0005886,GO:0005887,GO:0006464,GO:0006468,GO:0006793,GO:0006796,GO:0006807,GO:0006928,GO:0007154,GO:0007165,GO:0007166,GO:0007167,GO:0007169,GO:0007276,GO:0007281,GO:0007292,GO:0007297,GO:0007298,GO:0008150,GO:0008152,GO:0009888,GO:0009987,GO:0010631,GO:0010941,GO:0016020,GO:0016021,GO:0016301,GO:0016310,GO:0016477,GO:0016740,GO:0016772,GO:0016773,GO:0018108,GO:0018193,GO:0018212,GO:0019538,GO:0019953,GO:0022412,GO:0022414,GO:0023052,GO:0030154,GO:0030707,GO:0030855,GO:0031224,GO:0031226,GO:0032501,GO:0032502,GO:0032504,GO:0036211,GO:0040011,GO:0043170,GO:0043412,GO:0044237,GO:0044238,GO:0044260,GO:0044267,GO:0044425,GO:0044459,GO:0044464,GO:0044703,GO:0048468,GO:0048477,GO:0048519,GO:0048523,GO:0048583,GO:0048609,GO:0048856,GO:0048869,GO:0048870,GO:0050789,GO:0050794,GO:0050896,GO:0051179,GO:0051674,GO:0051704,GO:0051716,GO:0060429,GO:0060548,GO:0065007,GO:0071704,GO:0071944,GO:0090130,GO:0090132,GO:0140096,GO:1901564,GO:2000683
TRINITY_DN6167_c0_g1_i1.p1	TRINITY_DN6167_c0_g1_i1	1.884	1	mucin	1.0	0	XP_054264125.1 mucin-2-like [Macrosteles quadrilin	XP_054264125.1	Macrosteles quadrilineatus	73.0	Zona_pellucida(PF00100.30)	Zona pellucida (ZP) domain		GO:0000902,GO:0000904,GO:0002064,GO:0003382,GO:0003383,GO:0003674,GO:0005198,GO:0005214,GO:0005575,GO:0005623,GO:0005886,GO:0006928,GO:0006996,GO:0007010,GO:0007015,GO:0007155,GO:0007160,GO:0008150,GO:0008360,GO:0009653,GO:0009888,GO:0009987,GO:0016020,GO:0016043,GO:0016324,GO:0016476,GO:0022603,GO:0022604,GO:0022610,GO:0030029,GO:0030036,GO:0030048,GO:0030154,GO:0030855,GO:0031589,GO:0032502,GO:0032989,GO:0042302,GO:0044425,GO:0044459,GO:0044464,GO:0045177,GO:0045995,GO:0048468,GO:0048856,GO:0048869,GO:0050789,GO:0050793,GO:0050794,GO:0051128,GO:0051239,GO:0060429,GO:0065007,GO:0065008,GO:0070252,GO:0071840,GO:0071944,GO:0097435,GO:0098590,GO:2000026
TRINITY_DN33476_c0_g1_i4.p1	TRINITY_DN33476_c0_g1_i4	1.7986	1	mucin	1.0	1					MGC-24(PF05283.17)	Multi-glycosylated core protein 24 (MGC-24), sialomucin		GO:0000003,GO:0000323,GO:0002376,GO:0002520,GO:0003008,GO:0005575,GO:0005576,GO:0005622,GO:0005623,GO:0005737,GO:0005764,GO:0005768,GO:0005773,GO:0005886,GO:0005887,GO:0006955,GO:0007154,GO:0007155,GO:0007157,GO:0007162,GO:0007165,GO:0007275,GO:0007610,GO:0007611,GO:0007613,GO:0007616,GO:0008150,GO:0008285,GO:0009636,GO:0009987,GO:0010033,GO:0012505,GO:0016020,GO:0016021,GO:0022610,GO:0023052,GO:0030097,GO:0030155,GO:0030534,GO:0031224,GO:0031226,GO:0031410,GO:0031982,GO:0032501,GO:0032502,GO:0032504,GO:0035324,GO:0042127,GO:0042221,GO:0042493,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0044421,GO:0044424,GO:0044425,GO:0044444,GO:0044459,GO:0044464,GO:0045171,GO:0045172,GO:0045471,GO:0046677,GO:0048149,GO:0048513,GO:0048519,GO:0048523,GO:0048534,GO:0048731,GO:0048856,GO:0050789,GO:0050794,GO:0050877,GO:0050890,GO:0050896,GO:0051716,GO:0065007,GO:0071944,GO:0097305,GO:0097708,GO:0098549,GO:0098609,GO:0098742,GO:1901700
TRINITY_DN7032_c0_g1_i1.p1	TRINITY_DN7032_c0_g1_i1	1.6814	1	venom_carboxypeptidase	1.0	0	XP_049785115.1 venom serine carboxypeptidase [Schi	XP_049785115.1	Schistocerca cancellata	57.6	Peptidase_S10(PF00450.29)	Serine carboxypeptidase		GO:0003674,GO:0003824,GO:0004180,GO:0004185,GO:0006403,GO:0006508,GO:0006807,GO:0006810,GO:0008150,GO:0008152,GO:0008233,GO:0008236,GO:0008238,GO:0009056,GO:0009057,GO:0009987,GO:0015931,GO:0016787,GO:0017171,GO:0019538,GO:0030163,GO:0033036,GO:0033227,GO:0043170,GO:0044237,GO:0044238,GO:0044248,GO:0044257,GO:0044260,GO:0044265,GO:0044267,GO:0050657,GO:0050658,GO:0051179,GO:0051234,GO:0051236,GO:0051603,GO:0070008,GO:0070011,GO:0071702,GO:0071704,GO:0071705,GO:0140096,GO:1901564,GO:1901565,GO:1901575
TRINITY_DN39079_c1_g1_i3.p1	TRINITY_DN39079_c1_g1_i3	1.5811	1	ef_hand_ca_binding	1.0	0	XP_046666058.1 calumenin [Homalodisca vitripennis]	XP_046666058.1	Homalodisca vitripennis	82.0	EF-hand_7(PF13499.13);EF-hand_1(PF00036.39);EF-hand_6(PF13405.13);EF-hand_5(PF13202.13)	Calcium ion binding		GO:0003674,GO:0004857,GO:0005488,GO:0005509,GO:0005515,GO:0005575,GO:0005576,GO:0005622,GO:0005623,GO:0005634,GO:0005694,GO:0005700,GO:0005703,GO:0005737,GO:0005783,GO:0005788,GO:0005794,GO:0006139,GO:0006259,GO:0006265,GO:0006325,GO:0006355,GO:0006464,GO:0006725,GO:0006807,GO:0006996,GO:0007549,GO:0008150,GO:0008152,GO:0009047,GO:0009889,GO:0009891,GO:0009893,GO:0009987,GO:0010468,GO:0010556,GO:0010557,GO:0010604,GO:0010628,GO:0010911,GO:0010912,GO:0012505,GO:0016043,GO:0019219,GO:0019222,GO:0019538,GO:0019899,GO:0030234,GO:0031323,GO:0031325,GO:0031326,GO:0031328,GO:0031974,GO:0032781,GO:0034641,GO:0036211,GO:0040029,GO:0043085,GO:0043086,GO:0043167,GO:0043169,GO:0043170,GO:0043226,GO:0043227,GO:0043228,GO:0043229,GO:0043231,GO:0043232,GO:0043233,GO:0043412,GO:0043462,GO:0043687,GO:0044092,GO:0044093,GO:0044237,GO:0044238,GO:0044260,GO:0044267,GO:0044422,GO:0044424,GO:0044427,GO:0044432,GO:0044444,GO:0044446,GO:0044464,GO:0045893,GO:0045935,GO:0046483,GO:0046872,GO:0048518,GO:0048522,GO:0050789,GO:0050790,GO:0050794,GO:0051171,GO:0051173,GO:0051252,GO:0051254,GO:0051276,GO:0051336,GO:0051345,GO:0060255,GO:0065007,GO:0065009,GO:0070013,GO:0071103,GO:0071704,GO:0071840,GO:0080090,GO:0090304,GO:0098687,GO:0098772,GO:1901360,GO:1901564,GO:1902680,GO:1903506,GO:1903508,GO:2000112,GO:2000371,GO:2000373,GO:2001141
TRINITY_DN86023_c0_g2_i1.p1	TRINITY_DN86023_c0_g2_i1	1.5149	1	phospholipase	1.0	0	XP_046671707.1 group XIIA secretory phospholipase 	XP_046671707.1	Homalodisca vitripennis	51.7	PLA2G12(PF06951.17)	Group XII secretory phospholipase A2 precursor (PLA2G12)		
TRINITY_DN2431_c0_g1_i19.p1	TRINITY_DN2431_c0_g1_i19	1.5128	1	mucin	1.0	1	XP_046678200.1 mucin-17-like isoform X2 [Homalodis	XP_046678200.1	Homalodisca vitripennis	37.3	Y_phosphatase(PF00102.33);PTP-SAK(PF22784.2);Tc-R-P(PF22785.2)	Protein tyrosine phosphatase activity. It is involved in the biological process described with protein dephosphorylation		GO:0003674,GO:0003824,GO:0004721,GO:0004725,GO:0006464,GO:0006470,GO:0006793,GO:0006796,GO:0006807,GO:0008150,GO:0008152,GO:0009987,GO:0016311,GO:0016787,GO:0016788,GO:0016791,GO:0019538,GO:0035335,GO:0036211,GO:0042578,GO:0043170,GO:0043412,GO:0044237,GO:0044238,GO:0044260,GO:0044267,GO:0071704,GO:0140096,GO:1901564
TRINITY_DN5822_c1_g1_i2.p1	TRINITY_DN5822_c1_g1_i2	1.4582	1	ef_hand_ca_binding	1.0	0	XP_054276185.1 uncharacterized protein LOC12899525	XP_054276185.1	Macrosteles quadrilineatus	88.6	FKBP_C(PF00254.35);EF-hand_1(PF00036.39);EF-hand_7(PF13499.13);EF-hand_6(PF13405.13)	FKBP-type peptidyl-prolyl cis-trans isomerase		GO:0000413,GO:0003674,GO:0003755,GO:0003824,GO:0005488,GO:0005527,GO:0005528,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005783,GO:0005788,GO:0006457,GO:0006464,GO:0006807,GO:0006950,GO:0006986,GO:0007154,GO:0007165,GO:0008144,GO:0008150,GO:0008152,GO:0009987,GO:0010033,GO:0012505,GO:0016853,GO:0016859,GO:0018193,GO:0018208,GO:0019538,GO:0023052,GO:0030968,GO:0031974,GO:0033554,GO:0034620,GO:0034976,GO:0035966,GO:0035967,GO:0036211,GO:0036498,GO:0042221,GO:0043170,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0043233,GO:0043412,GO:0044237,GO:0044238,GO:0044260,GO:0044267,GO:0044422,GO:0044424,GO:0044432,GO:0044444,GO:0044446,GO:0044464,GO:0050789,GO:0050794,GO:0050896,GO:0051716,GO:0061077,GO:0065007,GO:0070013,GO:0070887,GO:0071310,GO:0071704,GO:0097159,GO:0140096,GO:1901363,GO:1901564
