protein_id	gene_name	diamond_subject	diamond_pident	diamond_evalue	diamond_bitscore	diamond_taxids	diamond_sciname	source_organism	lineage	is_eukaryote	is_bacteria	is_fungi	is_virus	pfam_domains	pfam_evalue	eggnog_og	cog_category	eggnog_desc	cazy	go_terms	kegg_ko	kegg_pathway	diamond_title
TRINITY_DN10007_c0_g1_i13.p1	XP_046665926.1 cAMP-specific 3',5'-cyclic phosphod	XP_046665926.1	80.8	0.0	1613	197043	Homalodisca vitripennis	Homalodisca vitripennis	;Arthropoda;Insecta;Hemiptera;Cicadellidae;Homalodisca;Homalodisca vitripennis	1	0	0	0	PDEase_I(PF00233.26);PDE4_UCR(PF18100.7)	3.5e-93	KOG3689@1|root,KOG3689@2759|Eukaryota,38EXP@33154|Opisthokonta,3B97Q@33208|Metazoa,3CS86@33213|Bilateria,41VQW@6656|Arthropoda,3SHSD@50557|Insecta,46I1Z@7399|Hymenoptera	T	3',5'-cyclic-nucleotide phosphodiesterase activity. It is involved in the biological process described with signal transduction		GO:0000003,GO:0000902,GO:0000904,GO:0001661,GO:0003008,GO:0003674,GO:0003824,GO:0004112,GO:0004114,GO:0004115,GO:0005575,GO:0005622,GO:0005623,GO:0005634,GO:0005737,GO:0005829,GO:0006139,GO:0006163,GO:0006195,GO:0006198,GO:0006725,GO:0006753,GO:0006793,GO:0006796,GO:0006807,GO:0007154,GO:0007165,GO:0007186,GO:0007187,GO:0007188,GO:0007193,GO:0007267,GO:0007268,GO:0007275,GO:0007399,GO:0007409,GO:0007610,GO:0007611,GO:0007612,GO:0007613,GO:0007614,GO:0007615,GO:0007617,GO:0007618,GO:0007619,GO:0007622,GO:0007623,GO:0007626,GO:0007631,GO:0007635,GO:0008081,GO:0008150,GO:0008152,GO:0008306,GO:0008355,GO:0009056,GO:0009058,GO:0009117,GO:0009150,GO:0009154,GO:0009166,GO:0009187,GO:0009214,GO:0009259,GO:0009261,GO:0009266,GO:0009628,GO:0009636,GO:0009653,GO:0009966,GO:0009968,GO:0009987,GO:0010033,GO:0010646,GO:0010648,GO:0010738,GO:0016043,GO:0016049,GO:0016787,GO:0016788,GO:0018130,GO:0019098,GO:0019438,GO:0019439,GO:0019637,GO:0019693,GO:0019932,GO:0019933,GO:0019935,GO:0019953,GO:0022008,GO:0022414,GO:0023051,GO:0023052,GO:0023057,GO:0030030,GO:0030154,GO:0030182,GO:0030431,GO:0030534,GO:0031175,GO:0032501,GO:0032502,GO:0032504,GO:0032989,GO:0032990,GO:0034404,GO:0034641,GO:0034654,GO:0034655,GO:0035556,GO:0040007,GO:0040012,GO:0040013,GO:0040040,GO:0042048,GO:0042221,GO:0042493,GO:0042578,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0043949,GO:0043951,GO:0044237,GO:0044238,GO:0044248,GO:0044249,GO:0044270,GO:0044271,GO:0044281,GO:0044283,GO:0044424,GO:0044444,GO:0044464,GO:0044703,GO:0045202,GO:0045471,GO:0045475,GO:0046058,GO:0046434,GO:0046483,GO:0046677,GO:0046700,GO:0046958,GO:0048149,GO:0048468,GO:0048511,GO:0048512,GO:0048519,GO:0048523,GO:0048583,GO:0048585,GO:0048588,GO:0048589,GO:0048609,GO:0048666,GO:0048667,GO:0048675,GO:0048699,GO:0048731,GO:0048812,GO:0048856,GO:0048858,GO:0048869,GO:0050789,GO:0050794,GO:0050877,GO:0050890,GO:0050896,GO:0051704,GO:0051716,GO:0055086,GO:0060560,GO:0061564,GO:0065007,GO:0071704,GO:0071840,GO:0072375,GO:0072521,GO:0072523,GO:0097305,GO:0098916,GO:0099536,GO:0099537,GO:0120036,GO:0120039,GO:1901135,GO:1901136,GO:1901292,GO:1901360,GO:1901361,GO:1901362,GO:1901564,GO:1901565,GO:1901575,GO:1901576,GO:1901700,GO:1902531,GO:1902532,GO:1990138	ko:K13293	ko00230,ko04024,ko05032,map00230,map04024,map05032	XP_046665926.1 cAMP-specific 3',5'-cyclic phosphodiesterase isoform X1 [Homalodisca vitripennis]
TRINITY_DN10007_c0_g1_i17.p1										0	0	0	0										
TRINITY_DN10007_c0_g1_i9.p1	XP_046665984.1 cAMP-specific 3',5'-cyclic phosphod	XP_046665984.1	89.8	0.0	1115	197043	Homalodisca vitripennis	Homalodisca vitripennis	;Arthropoda;Insecta;Hemiptera;Cicadellidae;Homalodisca;Homalodisca vitripennis	1	0	0	0	PDEase_I(PF00233.26);PDE4_UCR(PF18100.7)	1.5e-93	KOG3689@1|root,KOG3689@2759|Eukaryota,38EXP@33154|Opisthokonta,3B97Q@33208|Metazoa,3CS86@33213|Bilateria,41VQW@6656|Arthropoda,3SHSD@50557|Insecta	T	3',5'-cyclic-nucleotide phosphodiesterase activity. It is involved in the biological process described with signal transduction		GO:0000003,GO:0000902,GO:0000904,GO:0001661,GO:0003008,GO:0003674,GO:0003824,GO:0004112,GO:0004114,GO:0004115,GO:0005575,GO:0005622,GO:0005623,GO:0005634,GO:0005737,GO:0005829,GO:0006139,GO:0006163,GO:0006195,GO:0006198,GO:0006725,GO:0006753,GO:0006793,GO:0006796,GO:0006807,GO:0007154,GO:0007165,GO:0007186,GO:0007187,GO:0007188,GO:0007193,GO:0007267,GO:0007268,GO:0007275,GO:0007399,GO:0007409,GO:0007610,GO:0007611,GO:0007612,GO:0007613,GO:0007614,GO:0007615,GO:0007617,GO:0007618,GO:0007619,GO:0007622,GO:0007623,GO:0007626,GO:0007631,GO:0007635,GO:0008081,GO:0008150,GO:0008152,GO:0008306,GO:0008355,GO:0009056,GO:0009058,GO:0009117,GO:0009150,GO:0009154,GO:0009166,GO:0009187,GO:0009214,GO:0009259,GO:0009261,GO:0009266,GO:0009628,GO:0009636,GO:0009653,GO:0009966,GO:0009968,GO:0009987,GO:0010033,GO:0010646,GO:0010648,GO:0010738,GO:0016043,GO:0016049,GO:0016787,GO:0016788,GO:0018130,GO:0019098,GO:0019438,GO:0019439,GO:0019637,GO:0019693,GO:0019932,GO:0019933,GO:0019935,GO:0019953,GO:0022008,GO:0022414,GO:0023051,GO:0023052,GO:0023057,GO:0030030,GO:0030154,GO:0030182,GO:0030431,GO:0030534,GO:0031175,GO:0032501,GO:0032502,GO:0032504,GO:0032989,GO:0032990,GO:0034404,GO:0034641,GO:0034654,GO:0034655,GO:0035556,GO:0040007,GO:0040012,GO:0040013,GO:0040040,GO:0042048,GO:0042221,GO:0042493,GO:0042578,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0043949,GO:0043951,GO:0044237,GO:0044238,GO:0044248,GO:0044249,GO:0044270,GO:0044271,GO:0044281,GO:0044283,GO:0044424,GO:0044444,GO:0044464,GO:0044703,GO:0045202,GO:0045471,GO:0045475,GO:0046058,GO:0046434,GO:0046483,GO:0046677,GO:0046700,GO:0046958,GO:0048149,GO:0048468,GO:0048511,GO:0048512,GO:0048519,GO:0048523,GO:0048583,GO:0048585,GO:0048588,GO:0048589,GO:0048609,GO:0048666,GO:0048667,GO:0048675,GO:0048699,GO:0048731,GO:0048812,GO:0048856,GO:0048858,GO:0048869,GO:0050789,GO:0050794,GO:0050877,GO:0050890,GO:0050896,GO:0051704,GO:0051716,GO:0055086,GO:0060560,GO:0061564,GO:0065007,GO:0071704,GO:0071840,GO:0072375,GO:0072521,GO:0072523,GO:0097305,GO:0098916,GO:0099536,GO:0099537,GO:0120036,GO:0120039,GO:1901135,GO:1901136,GO:1901292,GO:1901360,GO:1901361,GO:1901362,GO:1901564,GO:1901565,GO:1901575,GO:1901576,GO:1901700,GO:1902531,GO:1902532,GO:1990138	ko:K13293	ko00230,ko04024,ko05032,map00230,map04024,map05032	XP_046665984.1 cAMP-specific 3',5'-cyclic phosphodiesterase isoform X8 [Homalodisca vitripennis]
TRINITY_DN10008_c3_g1_i2.p1	XP_046684095.1 LOW QUALITY PROTEIN: synaptosomal-a	XP_046684095.1	58.1	2.04e-85	266	197043	Homalodisca vitripennis	Homalodisca vitripennis	;Arthropoda;Insecta;Hemiptera;Cicadellidae;Homalodisca;Homalodisca vitripennis	1	0	0	0	V-SNARE_C(PF12352.14)	2.4e-06	KOG3065@1|root,KOG3065@2759|Eukaryota,39T4K@33154|Opisthokonta,3BJFV@33208|Metazoa,3CRJR@33213|Bilateria,41Z87@6656|Arthropoda,3SMVT@50557|Insecta,46EGF@7399|Hymenoptera	U	Snare region anchored in the vesicle membrane C-terminus		GO:0000003,GO:0000139,GO:0000149,GO:0000323,GO:0001505,GO:0001775,GO:0002252,GO:0002263,GO:0002274,GO:0002275,GO:0002283,GO:0002366,GO:0002376,GO:0002443,GO:0002444,GO:0002446,GO:0003674,GO:0005484,GO:0005488,GO:0005515,GO:0005575,GO:0005622,GO:0005623,GO:0005634,GO:0005654,GO:0005737,GO:0005764,GO:0005765,GO:0005766,GO:0005768,GO:0005773,GO:0005774,GO:0005776,GO:0005794,GO:0005813,GO:0005815,GO:0005829,GO:0005856,GO:0005886,GO:0005929,GO:0006810,GO:0006836,GO:0006886,GO:0006887,GO:0006903,GO:0006906,GO:0006914,GO:0006955,GO:0006996,GO:0007030,GO:0007154,GO:0007267,GO:0007268,GO:0007269,GO:0007276,GO:0007292,GO:0008104,GO:0008150,GO:0008152,GO:0009056,GO:0009987,GO:0010256,GO:0012505,GO:0012506,GO:0015031,GO:0015630,GO:0015833,GO:0016020,GO:0016043,GO:0016050,GO:0016079,GO:0016082,GO:0016192,GO:0016236,GO:0016240,GO:0016324,GO:0017156,GO:0019905,GO:0019953,GO:0020016,GO:0020018,GO:0022406,GO:0022411,GO:0022414,GO:0022607,GO:0023052,GO:0023061,GO:0030030,GO:0030031,GO:0030100,GO:0030141,GO:0030424,GO:0030659,GO:0030667,GO:0030728,GO:0031090,GO:0031201,GO:0031253,GO:0031410,GO:0031629,GO:0031974,GO:0031981,GO:0031982,GO:0031984,GO:0032501,GO:0032504,GO:0032879,GO:0032940,GO:0032984,GO:0032991,GO:0033036,GO:0033267,GO:0034613,GO:0034622,GO:0035577,GO:0036230,GO:0042119,GO:0042582,GO:0042886,GO:0042995,GO:0043005,GO:0043195,GO:0043226,GO:0043227,GO:0043228,GO:0043229,GO:0043231,GO:0043232,GO:0043233,GO:0043299,GO:0043312,GO:0043679,GO:0043933,GO:0044085,GO:0044237,GO:0044248,GO:0044306,GO:0044422,GO:0044424,GO:0044425,GO:0044428,GO:0044430,GO:0044431,GO:0044433,GO:0044437,GO:0044441,GO:0044444,GO:0044446,GO:0044456,GO:0044459,GO:0044463,GO:0044464,GO:0044703,GO:0044782,GO:0045026,GO:0045055,GO:0045177,GO:0045184,GO:0045202,GO:0045321,GO:0046903,GO:0046907,GO:0048284,GO:0048489,GO:0048519,GO:0048523,GO:0048609,GO:0050789,GO:0050794,GO:0050896,GO:0051046,GO:0051048,GO:0051049,GO:0051051,GO:0051128,GO:0051179,GO:0051234,GO:0051640,GO:0051641,GO:0051648,GO:0051649,GO:0051650,GO:0051656,GO:0051704,GO:0055037,GO:0055085,GO:0060170,GO:0060271,GO:0060627,GO:0061024,GO:0061025,GO:0061919,GO:0065002,GO:0065003,GO:0065007,GO:0065008,GO:0070013,GO:0070727,GO:0070925,GO:0071702,GO:0071705,GO:0071806,GO:0071840,GO:0071944,GO:0090174,GO:0097352,GO:0097458,GO:0097479,GO:0097480,GO:0097708,GO:0098588,GO:0098590,GO:0098791,GO:0098793,GO:0098796,GO:0098805,GO:0098852,GO:0098916,GO:0099003,GO:0099500,GO:0099503,GO:0099504,GO:0099536,GO:0099537,GO:0099643,GO:0120025,GO:0120031,GO:0120036,GO:0120038,GO:0140029,GO:0140056,GO:0150034,GO:1903530,GO:1903531	ko:K08509	ko04130,ko04140,map04130,map04140	XP_046684095.1 LOW QUALITY PROTEIN: synaptosomal-associated protein 29 [Homalodisca vitripennis]
TRINITY_DN100095_c0_g1_i1.p1	KAJ3655477.1 hypothetical protein Zmor_014608 [Zop	KAJ3655477.1	46.1	2.75e-26	114	2755281	Zophobas morio	Zophobas morio	;Arthropoda;Insecta;Coleoptera;Tenebrionidae;Zophobas;Zophobas morio	1	0	0	0	DUF1759(PF03564.22)	2e-19	2CMP4@1|root,2QR56@2759|Eukaryota,39VQX@33154|Opisthokonta,3BR69@33208|Metazoa,3D755@33213|Bilateria,4230R@6656|Arthropoda,3T012@50557|Insecta	S	Pao retrotransposon peptidase					KAJ3655477.1 hypothetical protein Zmor_014608 [Zophobas morio]
TRINITY_DN100098_c0_g1_i2.p1										0	0	0	0										
TRINITY_DN100098_c0_g1_i4.p1										0	0	0	0										
TRINITY_DN100098_c0_g1_i7.p1										0	0	0	0										
TRINITY_DN100125_c0_g1_i12.p1										0	0	0	0			KOG2992@1|root,KOG2992@2759|Eukaryota,38DH8@33154|Opisthokonta,3BDT2@33208|Metazoa,3CXCN@33213|Bilateria,41ZBQ@6656|Arthropoda,3SMRI@50557|Insecta,3EBXW@33342|Paraneoptera	Y	nucleolar and coiled-body phosphoprotein 1		GO:0000154,GO:0000278,GO:0000451,GO:0001042,GO:0001510,GO:0001650,GO:0001837,GO:0002119,GO:0002164,GO:0003674,GO:0003676,GO:0003700,GO:0003723,GO:0005048,GO:0005488,GO:0005515,GO:0005575,GO:0005622,GO:0005623,GO:0005634,GO:0005654,GO:0005730,GO:0005732,GO:0005737,GO:0006139,GO:0006351,GO:0006355,GO:0006364,GO:0006396,GO:0006417,GO:0006725,GO:0006807,GO:0006950,GO:0006970,GO:0006996,GO:0006997,GO:0007000,GO:0007049,GO:0007154,GO:0007165,GO:0007166,GO:0007167,GO:0007169,GO:0007275,GO:0007568,GO:0008134,GO:0008139,GO:0008150,GO:0008152,GO:0008284,GO:0008286,GO:0008340,GO:0009058,GO:0009059,GO:0009303,GO:0009451,GO:0009628,GO:0009653,GO:0009719,GO:0009725,GO:0009790,GO:0009791,GO:0009792,GO:0009888,GO:0009889,GO:0009891,GO:0009893,GO:0009987,GO:0010033,GO:0010243,GO:0010259,GO:0010467,GO:0010468,GO:0010556,GO:0010557,GO:0010604,GO:0010608,GO:0010628,GO:0014029,GO:0014031,GO:0014032,GO:0014033,GO:0015030,GO:0016043,GO:0016070,GO:0016072,GO:0016074,GO:0016604,GO:0018130,GO:0019219,GO:0019222,GO:0019438,GO:0019899,GO:0019904,GO:0022613,GO:0023052,GO:0030154,GO:0030515,GO:0030532,GO:0031167,GO:0031323,GO:0031325,GO:0031326,GO:0031328,GO:0031428,GO:0031429,GO:0031974,GO:0031981,GO:0032259,GO:0032268,GO:0032386,GO:0032501,GO:0032502,GO:0032774,GO:0032868,GO:0032869,GO:0032870,GO:0032879,GO:0032880,GO:0032991,GO:0033157,GO:0033218,GO:0033979,GO:0034248,GO:0034470,GO:0034512,GO:0034513,GO:0034641,GO:0034645,GO:0034654,GO:0034660,GO:0040024,GO:0042127,GO:0042221,GO:0042254,GO:0042277,GO:0042306,GO:0043009,GO:0043170,GO:0043175,GO:0043226,GO:0043227,GO:0043228,GO:0043229,GO:0043231,GO:0043232,GO:0043233,GO:0043412,GO:0043414,GO:0043434,GO:0044085,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044271,GO:0044422,GO:0044424,GO:0044428,GO:0044446,GO:0044451,GO:0044452,GO:0044464,GO:0045893,GO:0045935,GO:0046483,GO:0046822,GO:0046982,GO:0046983,GO:0048468,GO:0048513,GO:0048518,GO:0048522,GO:0048646,GO:0048731,GO:0048762,GO:0048856,GO:0048863,GO:0048864,GO:0048869,GO:0050789,GO:0050794,GO:0050896,GO:0051049,GO:0051171,GO:0051173,GO:0051223,GO:0051246,GO:0051252,GO:0051254,GO:0051716,GO:0060255,GO:0060341,GO:0060485,GO:0065007,GO:0070013,GO:0070063,GO:0070201,GO:0070887,GO:0071310,GO:0071375,GO:0071417,GO:0071495,GO:0071704,GO:0071840,GO:0072588,GO:0080090,GO:0090087,GO:0090304,GO:0097159,GO:0097659,GO:0098781,GO:0120114,GO:0140110,GO:1900180,GO:1901360,GO:1901362,GO:1901363,GO:1901576,GO:1901652,GO:1901653,GO:1901698,GO:1901699,GO:1901700,GO:1901701,GO:1902494,GO:1902680,GO:1903506,GO:1903508,GO:1903827,GO:1904589,GO:1990904,GO:2000112,GO:2001141	ko:K11294	ko05130,map05130	
TRINITY_DN10012_c0_g2_i10.p1	XP_039287400.1 LOW QUALITY PROTEIN: titin-like [Ni	XP_039287400.1	66.1	1.51e-240	750	108931	Nilaparvata lugens	Nilaparvata lugens	;Arthropoda;Insecta;Hemiptera;Delphacidae;Nilaparvata;Nilaparvata lugens	1	0	0	0	fn3(PF00041.28);I-set(PF07679.23);FN3_DSCAM-DSCAML_C(PF25059.2);Ig_3(PF13927.13);Ig_2(PF13895.13);ig(PF00047.32);Pur_ac_phosph_N(PF16656.12);Ig_MYOM1(PF28321.1);fn3_4(PF16794.12)	1.9e-43	KOG0613@1|root,KOG1216@1|root,KOG0613@2759|Eukaryota,KOG1216@2759|Eukaryota,3AGEV@33154|Opisthokonta,3BX36@33208|Metazoa,3DESZ@33213|Bilateria,42280@6656|Arthropoda,3SQ7V@50557|Insecta,3E85V@33342|Paraneoptera	Z	Fibronectin type 3 domain			ko:K12567,ko:K14721	ko00230,ko00240,ko03020,ko04623,ko05169,ko05410,ko05414,map00230,map00240,map03020,map04623,map05169,map05410,map05414	XP_039287400.1 LOW QUALITY PROTEIN: titin-like [Nilaparvata lugens]
