symbiont_candidate	protein_id	transcript_id	TPM	diamond_subject	diamond_pident	diamond_evalue	source_organism	pfam_domains	diamond_title
Sulcia	TRINITY_DN13021_c0_g1_i1.p1	TRINITY_DN13021_c0_g1_i1	2.863299	ADM90015.1	99.4	1.17e-225	Candidatus Karelsulcia muelleri CARI	DAHP_synth_1(PF00793.27);CM_2(PF01817.27)	ADM90015.1 putative phospho-2-dehydro-3-deoxyheptonate aldolase/chorismate mutase [Candidatus Karelsulcia muelleri CARI]
Sulcia	TRINITY_DN254425_c0_g1_i1.p1	TRINITY_DN254425_c0_g1_i1	2.401912	ADM89899.1	99.2	5.41e-55	Candidatus Karelsulcia muelleri CARI	Ribosomal_L12(PF00542.25)	ADM89899.1 50S ribosomal protein L7/L12 [Candidatus Karelsulcia muelleri CARI]
Sulcia	TRINITY_DN48409_c0_g1_i1.p1	TRINITY_DN48409_c0_g1_i1	2.371094	ADM90026.1	99.4	6.94e-230	Candidatus Karelsulcia muelleri CARI	Transket_pyr(PF02779.30);Transketolase_C(PF02780.26)	ADM90026.1 pyruvate dehydrogenase E1 component beta subunit [Candidatus Karelsulcia muelleri CARI]
Sulcia	TRINITY_DN1796_c0_g1_i1.p3	TRINITY_DN1796_c0_g1_i1	2.337385	WP_171815083.1	98.9	4.23e-203	Candidatus Karelsulcia muelleri	Transketolase_N(PF00456.27);DXP_synthase_N(PF13292.12);E1_dh(PF00676.26)	WP_171815083.1 transketolase [Candidatus Karelsulcia muelleri]
Sulcia	TRINITY_DN1796_c0_g1_i1.p2	TRINITY_DN1796_c0_g1_i1	2.337385	WP_041093756.1	98.4	7.10e-222	Candidatus Karelsulcia muelleri	Transket_pyr(PF02779.30);Transketolase_C(PF02780.26)	WP_041093756.1 transketolase C-terminal domain-containing protein [Candidatus Karelsulcia muelleri]
Sulcia	TRINITY_DN1796_c0_g1_i1.p1	TRINITY_DN1796_c0_g1_i1	2.337385	WP_041093755.1	97.0	0.0	Candidatus Karelsulcia muelleri	ELFV_dehydrog(PF00208.28);ELFV_dehydrog_N(PF02812.24)	WP_041093755.1 Glu/Leu/Phe/Val dehydrogenase [Candidatus Karelsulcia muelleri]
Sulcia	TRINITY_DN34121_c0_g2_i1.p1	TRINITY_DN34121_c0_g2_i1	1.803663	WP_041093817.1	97.9	0.0	Candidatus Karelsulcia muelleri	HSP70(PF00012.27);MreB_Mbl(PF06723.20)	WP_041093817.1 molecular chaperone DnaK [Candidatus Karelsulcia muelleri]
Sulcia	TRINITY_DN39645_c0_g1_i1.p1	TRINITY_DN39645_c0_g1_i1	1.651278	ADM89970.1	96.6	1.55e-75	Candidatus Karelsulcia muelleri CARI	Cytochrome_CBB3(PF13442.12);Cytochrom_C(PF00034.27)	ADM89970.1 putative cytochrome c oxidase, cbb3-type, ccoP subunit [Candidatus Karelsulcia muelleri CARI]
Sulcia	TRINITY_DN225627_c0_g1_i1.p1	TRINITY_DN225627_c0_g1_i1	1.643103	ADM89903.1	99.2	3.89e-280	Candidatus Karelsulcia muelleri CARI	GTP_EFTU(PF00009.34);GTP_EFTU_D3(PF03143.24);GTP_EFTU_D2(PF03144.32)	ADM89903.1 translation elongation factor Tu [Candidatus Karelsulcia muelleri CARI]
Sulcia	TRINITY_DN33261_c0_g1_i1.p1	TRINITY_DN33261_c0_g1_i1	1.630327	ADM89881.1	96.1	5.96e-241	Candidatus Karelsulcia muelleri CARI	Iso_dh(PF00180.26)	ADM89881.1 3-isopropylmalate dehydrogenase [Candidatus Karelsulcia muelleri CARI]
Sulcia	TRINITY_DN50437_c0_g1_i1.p1	TRINITY_DN50437_c0_g1_i1	1.590425	ADM90070.1	98.9	1.98e-51	Candidatus Karelsulcia muelleri CARI	Biotin_lipoyl(PF00364.29)	ADM90070.1 Dihydrolipoamide acyltransferase E2 component [Candidatus Karelsulcia muelleri CARI]
Sulcia	TRINITY_DN230272_c0_g1_i1.p1	TRINITY_DN230272_c0_g1_i1	1.540032	WP_041093715.1	97.2	3.99e-65	Candidatus Karelsulcia muelleri	tRNA-synt_1g(PF09334.18);tRNA-synt_1(PF00133.29)	WP_041093715.1 methionine--tRNA ligase [Candidatus Karelsulcia muelleri]
Sulcia	TRINITY_DN3146_c1_g1_i1.p3	TRINITY_DN3146_c1_g1_i1	1.516043	ADM89947.1	96.7	7.02e-263	Candidatus Karelsulcia muelleri CARI	GATase(PF00117.35);CPSase_sm_chain(PF00988.29)	ADM89947.1 carbamoyl phosphate synthase small subunit [Candidatus Karelsulcia muelleri CARI]
Sulcia	TRINITY_DN3146_c1_g1_i1.p1	TRINITY_DN3146_c1_g1_i1	1.516043	ADM89948.1	97.0	0.0	Candidatus Karelsulcia muelleri CARI	CPSase_L_D2(PF02786.23);CPSase_L_D1(PF25596.2);CPSase_L_D3(PF02787.26);ATP-grasp(PF02222.28);ATPgrasp_Ter(PF15632.12);Dala_Dala_lig_C(PF07478.19)	ADM89948.1 carbamyl phosphate synthase large subunit [Candidatus Karelsulcia muelleri CARI]
Sulcia	TRINITY_DN3146_c1_g1_i1.p2	TRINITY_DN3146_c1_g1_i1	1.516043	ADM89946.1	98.2	7.11e-269	Candidatus Karelsulcia muelleri CARI	Aminotran_3(PF00202.28)	ADM89946.1 acetylornithine aminotransferase [Candidatus Karelsulcia muelleri CARI]
Sulcia	TRINITY_DN17097_c0_g1_i1.p1	TRINITY_DN17097_c0_g1_i1	1.493853	ADM90081.1	97.4	7.54e-123	Candidatus Karelsulcia muelleri CARI	TPP_enzyme_C(PF02775.27)	ADM90081.1 acetolactate synthase large subunit [Candidatus Karelsulcia muelleri CARI]
Sulcia	TRINITY_DN25840_c1_g1_i1.p1	TRINITY_DN25840_c1_g1_i1	1.471442	ADM89878.1	98.0	2.49e-62	Candidatus Karelsulcia muelleri CARI	AA_kinase(PF00696.34)	ADM89878.1 putative aspartate kinase [Candidatus Karelsulcia muelleri CARI]
Sulcia	TRINITY_DN71015_c1_g1_i1.p1	TRINITY_DN71015_c1_g1_i1	1.369495	WP_041093897.1	97.7	1.46e-213	Candidatus Karelsulcia muelleri	PALP(PF00291.32)	WP_041093897.1 threonine synthase [Candidatus Karelsulcia muelleri]
Sulcia	TRINITY_DN14177_c0_g2_i1.p2	TRINITY_DN14177_c0_g2_i1	1.348314	ADM89949.1	97.4	4.42e-215	Candidatus Karelsulcia muelleri CARI	OTCace_N(PF02729.27);OTCace(PF00185.31)	ADM89949.1 ornithine carbamoyltransferase [Candidatus Karelsulcia muelleri CARI]
Sulcia	TRINITY_DN14177_c0_g2_i1.p1	TRINITY_DN14177_c0_g2_i1	1.348314	ADM89951.1	98.3	1.96e-247	Candidatus Karelsulcia muelleri CARI	Peptidase_M20(PF01546.34);M20_dimer(PF07687.20)	ADM89951.1 acetylornithine deacetylase [Candidatus Karelsulcia muelleri CARI]
Sulcia	TRINITY_DN14177_c0_g2_i1.p3	TRINITY_DN14177_c0_g2_i1	1.348314	WP_041093865.1	96.1	1.39e-174	Candidatus Karelsulcia muelleri	AA_kinase(PF00696.34)	WP_041093865.1 acetylglutamate kinase [Candidatus Karelsulcia muelleri]
Sulcia	TRINITY_DN255453_c0_g1_i1.p1	TRINITY_DN255453_c0_g1_i1	1.3253	WP_041093715.1	95.0	8.47e-90	Candidatus Karelsulcia muelleri	tRNA-synt_1g(PF09334.18)	WP_041093715.1 methionine--tRNA ligase [Candidatus Karelsulcia muelleri]
Sulcia	TRINITY_DN33261_c0_g2_i1.p1	TRINITY_DN33261_c0_g2_i1	1.2829	ADM89883.1	95.9	0.0	Candidatus Karelsulcia muelleri CARI	Aconitase(PF00330.26)	ADM89883.1 3-isopropylmalate dehydratase large subunit [Candidatus Karelsulcia muelleri CARI]
Sulcia	TRINITY_DN33261_c0_g2_i1.p3	TRINITY_DN33261_c0_g2_i1	1.2829	ADM89882.1	99.2	3.56e-85	Candidatus Karelsulcia muelleri CARI	Aconitase_C(PF00694.26)	ADM89882.1 3-isopropylmalate dehydratase small subunit [Candidatus Karelsulcia muelleri CARI]
Sulcia	TRINITY_DN33261_c0_g2_i1.p2	TRINITY_DN33261_c0_g2_i1	1.2829	ADM89884.1	99.1	2.07e-229	Candidatus Karelsulcia muelleri CARI	HMGL-like(PF00682.26);HCS_D2(PF22617.2)	ADM89884.1 2-isopropylmalate synthase [Candidatus Karelsulcia muelleri CARI]
Sulcia	TRINITY_DN92307_c0_g1_i2.p2	TRINITY_DN92307_c0_g1_i2	1.238584	ADM90081.1	95.6	9.96e-223	Candidatus Karelsulcia muelleri CARI	TPP_enzyme_M(PF00205.29);TPP_enzyme_N(PF02776.24)	ADM90081.1 acetolactate synthase large subunit [Candidatus Karelsulcia muelleri CARI]
Sulcia	TRINITY_DN92307_c0_g1_i2.p1	TRINITY_DN92307_c0_g1_i2	1.238584	ADM90082.1	98.4	0.0	Candidatus Karelsulcia muelleri CARI	ILVD_EDD_N(PF00920.28);ILV_EDD_C(PF24877.2)	ADM90082.1 dihydroxy-acid dehydratase [Candidatus Karelsulcia muelleri CARI]
Sulcia	TRINITY_DN260266_c0_g1_i1.p1	TRINITY_DN260266_c0_g1_i1	1.226069	WP_041093852.1	96.7	1.43e-118	Candidatus Karelsulcia muelleri		WP_041093852.1 argininosuccinate synthase domain-containing protein [Candidatus Karelsulcia muelleri]
Sulcia	TRINITY_DN227793_c0_g1_i1.p1	TRINITY_DN227793_c0_g1_i1	1.221812	ADM90022.1	98.9	2.37e-122	Candidatus Karelsulcia muelleri CARI	HATPase_c(PF02518.32)	ADM90022.1 DNA gyrase B subunit [Candidatus Karelsulcia muelleri CARI]
Sulcia	TRINITY_DN250281_c0_g1_i1.p1	TRINITY_DN250281_c0_g1_i1	1.196688	WP_041093912.1	98.4	1.21e-168	Candidatus Karelsulcia muelleri	Radical_SAM(PF04055.28)	WP_041093912.1 lipoyl synthase [Candidatus Karelsulcia muelleri]
Sulcia	TRINITY_DN1579_c0_g1_i3.p1	TRINITY_DN1579_c0_g1_i3	1.188611	WP_041093852.1	96.7	1.90e-275	Candidatus Karelsulcia muelleri	Arginosuc_synth(PF00764.26);Arginosuc_syn_C(PF20979.3)	WP_041093852.1 argininosuccinate synthase domain-containing protein [Candidatus Karelsulcia muelleri]
Sulcia	TRINITY_DN1579_c0_g1_i3.p2	TRINITY_DN1579_c0_g1_i3	1.188611	ADM89945.1	96.4	4.65e-150	Candidatus Karelsulcia muelleri CARI	Semialdhyde_dhC_1(PF22698.2);Semialdhyde_dh(PF01118.31)	ADM89945.1 N-acetyl-gamma-glutamyl-phosphate reductase [Candidatus Karelsulcia muelleri CARI]
Sulcia	TRINITY_DN27038_c0_g1_i1.p2	TRINITY_DN27038_c0_g1_i1	1.154185	ADM89968.1	98.0	3.92e-170	Candidatus Karelsulcia muelleri CARI	Homoserine_dh(PF00742.25)	ADM89968.1 aspartokinase/homoserine dehydrogenase [Candidatus Karelsulcia muelleri CARI]
Sulcia	TRINITY_DN27038_c0_g1_i1.p1	TRINITY_DN27038_c0_g1_i1	1.154185	ADM89967.1	99.7	7.58e-210	Candidatus Karelsulcia muelleri CARI	GHMP_kinases_N(PF00288.33);GHMP_kinases_C(PF08544.19)	ADM89967.1 homoserine kinase [Candidatus Karelsulcia muelleri CARI]
Sulcia	TRINITY_DN249048_c0_g1_i1.p1	TRINITY_DN249048_c0_g1_i1	1.132656	ADM89854.1	99.0	0.0	Candidatus Karelsulcia muelleri CARI	ATP-synt_ab(PF00006.32);ATP-synt_VA_C(PF22919.2);ATP-synt_ab_N(PF02874.30)	ADM89854.1 F0F1 ATP synthase subunit beta [Candidatus Karelsulcia muelleri CARI]
Sulcia	TRINITY_DN64344_c0_g1_i1.p1	TRINITY_DN64344_c0_g1_i1	1.1142	ADM89844.1	97.3	1.93e-224	Candidatus Karelsulcia muelleri CARI	DNA_topoisoIV(PF00521.27)	ADM89844.1 DNA gyrase A subunit [Candidatus Karelsulcia muelleri CARI]
Sulcia	TRINITY_DN3701_c0_g1_i1.p4	TRINITY_DN3701_c0_g1_i1	1.109087	ADM90033.1	100	7.51e-69	Candidatus Karelsulcia muelleri CARI	Ribosom_S12_S23(PF00164.32)	ADM90033.1 30S ribosomal protein S12 [Candidatus Karelsulcia muelleri CARI]
Sulcia	TRINITY_DN3701_c0_g1_i1.p5	TRINITY_DN3701_c0_g1_i1	1.109087	ADM90038.1	98.1	3.02e-62	Candidatus Karelsulcia muelleri CARI	Ribosomal_L4(PF00573.28)	ADM90038.1 50S ribosomal subunit protein L4 [Candidatus Karelsulcia muelleri CARI]
Sulcia	TRINITY_DN3701_c0_g1_i1.p6	TRINITY_DN3701_c0_g1_i1	1.109087	WP_041094030.1	96.1	9.83e-61	Candidatus Karelsulcia muelleri	Ribosomal_S10(PF00338.28)	WP_041094030.1 30S ribosomal protein S10 [Candidatus Karelsulcia muelleri]
Sulcia	TRINITY_DN3701_c0_g1_i1.p3	TRINITY_DN3701_c0_g1_i1	1.109087	ADM90034.1	98.1	1.29e-103	Candidatus Karelsulcia muelleri CARI	Ribosomal_S7(PF00177.28)	ADM90034.1 30S ribosomal protein S7 [Candidatus Karelsulcia muelleri CARI]
Sulcia	TRINITY_DN3701_c0_g1_i1.p1	TRINITY_DN3701_c0_g1_i1	1.109087	WP_041094028.1	98.9	0.0	Candidatus Karelsulcia muelleri	GTP_EFTU(PF00009.34);EFG_IV(PF03764.25);EFG_III(PF14492.13);EFG_C(PF00679.31);EF-G_D2(PF22042.3);GTP_EFTU_D2(PF03144.32);RF3_C(PF16658.12)	WP_041094028.1 elongation factor G [Candidatus Karelsulcia muelleri]
Sulcia	TRINITY_DN3701_c0_g1_i1.p2	TRINITY_DN3701_c0_g1_i1	1.109087	ADM90037.1	98.0	7.80e-137	Candidatus Karelsulcia muelleri CARI	Ribosomal_L3(PF00297.29)	ADM90037.1 50S ribosomal protein L3 [Candidatus Karelsulcia muelleri CARI]
Sulcia	TRINITY_DN253946_c0_g1_i1.p1	TRINITY_DN253946_c0_g1_i1	1.0783	ADM89961.1	100	6.59e-80	Candidatus Karelsulcia muelleri CARI	P-loop_SecA(PF21090.4)	ADM89961.1 translocase [Candidatus Karelsulcia muelleri CARI]
Sulcia	TRINITY_DN231104_c0_g1_i1.p1	TRINITY_DN231104_c0_g1_i1	1.072897	ADM89939.1	98.1	3.16e-175	Candidatus Karelsulcia muelleri CARI	PTA_PTB(PF01515.25)	ADM89939.1 phosphate acetyltransferase [Candidatus Karelsulcia muelleri CARI]
Sulcia	TRINITY_DN59676_c0_g1_i1.p1	TRINITY_DN59676_c0_g1_i1	1.062589	WP_041094015.1	96.3	7.11e-133	Candidatus Karelsulcia muelleri	RNase_PH(PF01138.28);RNase_PH_C(PF03725.21)	WP_041094015.1 polyribonucleotide nucleotidyltransferase [Candidatus Karelsulcia muelleri]
Sulcia	TRINITY_DN249820_c0_g1_i1.p1	TRINITY_DN249820_c0_g1_i1	1.0558	WP_041094073.1	95.3	1.48e-73	Candidatus Karelsulcia muelleri	Ribosomal_L17(PF01196.25)	WP_041094073.1 50S ribosomal protein L17 [Candidatus Karelsulcia muelleri]
Sulcia	TRINITY_DN249820_c0_g1_i1.p2	TRINITY_DN249820_c0_g1_i1	1.0558	ADM90063.1	96.1	5.11e-59	Candidatus Karelsulcia muelleri CARI	DAP_epimerase(PF01678.25)	ADM90063.1 diaminopimelate epimerase [Candidatus Karelsulcia muelleri CARI]
Sulcia	TRINITY_DN237462_c0_g1_i1.p1	TRINITY_DN237462_c0_g1_i1	1.051752	ADM89872.1	97.8	0.0	Candidatus Karelsulcia muelleri CARI	ATP-synt_ab(PF00006.32);ATP-synt_ab_C(PF00306.33);ATP-synt_ab_N(PF02874.30)	ADM89872.1 ATP synthase F1, alpha subunit [Candidatus Karelsulcia muelleri CARI]
