protein_id	is_secreted	has_sp	sp_prob	cs_pos	signalp_pred	tm_count	topology	diamond_subject	gene_name	diamond_pident	diamond_evalue	source_organism	eggnog_desc	go_terms	kegg_ko	kegg_pathway	cog_category	pfam_domains
TRINITY_DN5845_c0_g1_i7.p1	False	False	0.0		OTHER	0		TLY48823.1	TLY48823.1 MAG: DDE-type integrase/transposase/rec	39.8	4.29e-95	Gammaproteobacteria bacterium	Integrase core domain				L	RVT_1(PF00078.33);gag-asp_proteas(PF13975.12)
TRINITY_DN7946_c0_g3_i2.p1	False	False	0.0		OTHER	0		XP_054282162.1	XP_054282162.1 BTB/POZ domain-containing protein 2	58.6	7.12e-188	Macrosteles quadrilineatus	BTB And C-terminal Kelch	GO:0000151,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0006464,GO:0006807,GO:0008150,GO:0008152,GO:0009987,GO:0019538,GO:0031461,GO:0031463,GO:0032991,GO:0036211,GO:0043170,GO:0043412,GO:0043687,GO:0044237,GO:0044238,GO:0044260,GO:0044267,GO:0044424,GO:0044444,GO:0044464,GO:0071704,GO:1901564,GO:1902494,GO:1990234	ko:K10474,ko:K10475		S	BTB(PF00651.38);BACK(PF07707.22)
TRINITY_DN706_c1_g1_i8.p1	False	False	0.04		OTHER	6	H,h,H,h,H,h	XP_046683219.1	XP_046683219.1 mucolipin-3-like isoform X2 [Homalo	71.7	1.03e-289	Homalodisca vitripennis	phosphatidylinositol-3,5-bisphosphate binding	GO:0000041,GO:0000323,GO:0001816,GO:0001817,GO:0001819,GO:0002065,GO:0002376,GO:0002790,GO:0003674,GO:0005215,GO:0005216,GO:0005217,GO:0005261,GO:0005262,GO:0005381,GO:0005488,GO:0005543,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005764,GO:0005765,GO:0005768,GO:0005770,GO:0005773,GO:0005774,GO:0005829,GO:0005886,GO:0005887,GO:0006810,GO:0006811,GO:0006812,GO:0006816,GO:0006826,GO:0006869,GO:0006873,GO:0006874,GO:0006875,GO:0006914,GO:0006928,GO:0006996,GO:0007033,GO:0007034,GO:0007040,GO:0007041,GO:0007154,GO:0007165,GO:0007204,GO:0007267,GO:0007275,GO:0007399,GO:0007423,GO:0007568,GO:0007610,GO:0007626,GO:0008104,GO:0008150,GO:0008152,GO:0008289,GO:0008324,GO:0008340,GO:0008544,GO:0008582,GO:0009056,GO:0009268,GO:0009306,GO:0009628,GO:0009888,GO:0009913,GO:0009966,GO:0009967,GO:0009987,GO:0010008,GO:0010035,GO:0010038,GO:0010259,GO:0010646,GO:0010647,GO:0010876,GO:0010877,GO:0012505,GO:0015031,GO:0015075,GO:0015085,GO:0015267,GO:0015276,GO:0015278,GO:0015318,GO:0015682,GO:0015833,GO:0016020,GO:0016021,GO:0016043,GO:0016192,GO:0016197,GO:0016236,GO:0016477,GO:0019722,GO:0019725,GO:0019915,GO:0019932,GO:0022008,GO:0022411,GO:0022607,GO:0022803,GO:0022834,GO:0022836,GO:0022838,GO:0022839,GO:0022857,GO:0022890,GO:0023051,GO:0023052,GO:0023056,GO:0030001,GO:0030003,GO:0030100,GO:0030154,GO:0030182,GO:0030855,GO:0031090,GO:0031166,GO:0031224,GO:0031226,GO:0031300,GO:0031301,GO:0031310,GO:0031410,GO:0031902,GO:0031982,GO:0032006,GO:0032008,GO:0032501,GO:0032502,GO:0032602,GO:0032642,GO:0032722,GO:0032879,GO:0032940,GO:0032984,GO:0032991,GO:0033036,GO:0033572,GO:0034220,GO:0034702,GO:0034703,GO:0034755,GO:0035091,GO:0035315,GO:0035556,GO:0035926,GO:0036019,GO:0036020,GO:0040008,GO:0040011,GO:0042221,GO:0042490,GO:0042491,GO:0042592,GO:0042886,GO:0043167,GO:0043168,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0043235,GO:0043583,GO:0043900,GO:0043901,GO:0043903,GO:0043933,GO:0044085,GO:0044087,GO:0044089,GO:0044126,GO:0044130,GO:0044144,GO:0044146,GO:0044237,GO:0044248,GO:0044422,GO:0044424,GO:0044425,GO:0044433,GO:0044437,GO:0044440,GO:0044444,GO:0044446,GO:0044459,GO:0044464,GO:0045165,GO:0045168,GO:0045184,GO:0045806,GO:0045887,GO:0045926,GO:0045927,GO:0046331,GO:0046873,GO:0046903,GO:0046907,GO:0046915,GO:0048513,GO:0048518,GO:0048519,GO:0048522,GO:0048523,GO:0048583,GO:0048584,GO:0048638,GO:0048639,GO:0048699,GO:0048731,GO:0048839,GO:0048856,GO:0048869,GO:0048870,GO:0048878,GO:0050663,GO:0050789,GO:0050793,GO:0050794,GO:0050801,GO:0050803,GO:0050807,GO:0050896,GO:0050900,GO:0051049,GO:0051051,GO:0051094,GO:0051128,GO:0051129,GO:0051130,GO:0051179,GO:0051209,GO:0051234,GO:0051235,GO:0051239,GO:0051240,GO:0051259,GO:0051260,GO:0051262,GO:0051282,GO:0051283,GO:0051289,GO:0051480,GO:0051592,GO:0051641,GO:0051649,GO:0051674,GO:0051716,GO:0051960,GO:0051962,GO:0051963,GO:0051965,GO:0055037,GO:0055065,GO:0055074,GO:0055080,GO:0055082,GO:0055085,GO:0060113,GO:0060401,GO:0060402,GO:0060429,GO:0060563,GO:0060627,GO:0061919,GO:0065003,GO:0065007,GO:0065008,GO:0070588,GO:0070838,GO:0070887,GO:0071214,GO:0071241,GO:0071248,GO:0071277,GO:0071467,GO:0071637,GO:0071639,GO:0071640,GO:0071642,GO:0071649,GO:0071651,GO:0071702,GO:0071705,GO:0071840,GO:0071944,GO:0072345,GO:0072503,GO:0072507,GO:0072511,GO:0072512,GO:0072567,GO:0080025,GO:0080171,GO:0090195,GO:0097352,GO:0097529,GO:0097530,GO:0097553,GO:0097682,GO:0097708,GO:0098588,GO:0098655,GO:0098660,GO:0098662,GO:0098771,GO:0098796,GO:0098805,GO:0098852,GO:0099094,GO:0099604,GO:0104004,GO:1901981,GO:1902495,GO:1902531,GO:1902533,GO:1902936,GO:1904396,GO:1904398,GO:1905103,GO:1905517,GO:1990266,GO:1990351,GO:2000026,GO:2000341,GO:2000343	ko:K04992,ko:K04993,ko:K04994	ko04142,map04142	P	MCLN_ECD(PF21381.3);PKD_channel(PF08016.19)
TRINITY_DN16610_c0_g1_i16.p2	False	False	0.0		OTHER	0		PNF33922.1	PNF33922.1 hypothetical protein B7P43_G06007 [Cryp	39.0	1.79e-35	Cryptotermes secundus						
TRINITY_DN2146_c0_g1_i13.p1	False	False	0.0		OTHER	0												
TRINITY_DN6001_c4_g1_i1.p1	False	False	0.0		OTHER	0							IQ calmodulin-binding motif	GO:0003674,GO:0005488,GO:0005515,GO:0008092,GO:0017022,GO:0032027			S	IQ(PF00612.34)
TRINITY_DN19781_c0_g1_i9.p1	False	False	0.0		OTHER	0		XP_054269136.1	XP_054269136.1 NFU1 iron-sulfur cluster scaffold h	83.0	1.36e-129	Macrosteles quadrilineatus	Molecular scaffold for Fe-S cluster assembly of mitochondrial iron-sulfur proteins	GO:0003674,GO:0005488,GO:0005506,GO:0005575,GO:0005622,GO:0005623,GO:0005634,GO:0005654,GO:0005737,GO:0005739,GO:0005829,GO:0006790,GO:0008150,GO:0008152,GO:0009987,GO:0010876,GO:0016043,GO:0016226,GO:0019915,GO:0022607,GO:0031163,GO:0031974,GO:0031981,GO:0033036,GO:0043167,GO:0043169,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0043233,GO:0044085,GO:0044237,GO:0044422,GO:0044424,GO:0044428,GO:0044444,GO:0044446,GO:0044464,GO:0046872,GO:0046914,GO:0048037,GO:0051179,GO:0051186,GO:0051235,GO:0051536,GO:0051539,GO:0051540,GO:0065007,GO:0065008,GO:0070013,GO:0071840	ko:K22074		O	Nfu_N(PF08712.17);NifU(PF01106.23)
TRINITY_DN129_c0_g1_i18.p1	False	False	0.0		OTHER	0		XP_032512120.1	XP_032512120.1 uncharacterized protein LOC11676638	34.7	1.45e-45	Danaus plexippus plexippus	Reverse transcriptase (RNA-dependent DNA polymerase)				S	
TRINITY_DN438_c2_g1_i13.p1	False	False	0.0		OTHER	0		XP_018917177.1	XP_018917177.1 PREDICTED: troponin I isoform X13 [	91.1	4.90e-46	Bemisia tabaci	Troponin	GO:0000003,GO:0000166,GO:0000280,GO:0000287,GO:0001568,GO:0001570,GO:0001944,GO:0001976,GO:0001980,GO:0003007,GO:0003008,GO:0003009,GO:0003012,GO:0003013,GO:0003015,GO:0003073,GO:0003205,GO:0003206,GO:0003208,GO:0003229,GO:0003231,GO:0003674,GO:0003779,GO:0003824,GO:0005246,GO:0005488,GO:0005515,GO:0005524,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0005856,GO:0005861,GO:0005862,GO:0005865,GO:0006873,GO:0006874,GO:0006875,GO:0006928,GO:0006936,GO:0006937,GO:0006940,GO:0006941,GO:0006942,GO:0006996,GO:0007010,GO:0007154,GO:0007165,GO:0007275,GO:0007399,GO:0007507,GO:0007517,GO:0007519,GO:0007610,GO:0007631,GO:0008015,GO:0008016,GO:0008092,GO:0008144,GO:0008150,GO:0008200,GO:0008217,GO:0009653,GO:0009790,GO:0009791,GO:0009792,GO:0009886,GO:0009887,GO:0009888,GO:0009987,GO:0010171,GO:0010882,GO:0010927,GO:0014706,GO:0014733,GO:0014883,GO:0015629,GO:0016043,GO:0016247,GO:0016248,GO:0016462,GO:0016787,GO:0016817,GO:0016818,GO:0016887,GO:0017076,GO:0017111,GO:0018991,GO:0019098,GO:0019722,GO:0019725,GO:0019855,GO:0019899,GO:0019900,GO:0019901,GO:0019904,GO:0019932,GO:0022414,GO:0022607,GO:0023052,GO:0030003,GO:0030016,GO:0030017,GO:0030029,GO:0030036,GO:0030048,GO:0030049,GO:0030154,GO:0030172,GO:0030239,GO:0030554,GO:0031014,GO:0031032,GO:0032501,GO:0032502,GO:0032504,GO:0032553,GO:0032555,GO:0032559,GO:0032780,GO:0032989,GO:0032991,GO:0033058,GO:0033275,GO:0035239,GO:0035295,GO:0035556,GO:0035639,GO:0036094,GO:0036379,GO:0040011,GO:0040032,GO:0042592,GO:0042692,GO:0042755,GO:0043050,GO:0043057,GO:0043086,GO:0043167,GO:0043168,GO:0043169,GO:0043226,GO:0043228,GO:0043229,GO:0043232,GO:0043292,GO:0043462,GO:0043502,GO:0044057,GO:0044085,GO:0044092,GO:0044422,GO:0044424,GO:0044430,GO:0044444,GO:0044446,GO:0044449,GO:0044464,GO:0044877,GO:0045214,GO:0046716,GO:0046872,GO:0048285,GO:0048306,GO:0048468,GO:0048513,GO:0048514,GO:0048583,GO:0048609,GO:0048644,GO:0048646,GO:0048729,GO:0048731,GO:0048738,GO:0048856,GO:0048869,GO:0048878,GO:0050789,GO:0050790,GO:0050794,GO:0050801,GO:0050877,GO:0050879,GO:0050881,GO:0050896,GO:0051015,GO:0051146,GO:0051239,GO:0051336,GO:0051346,GO:0051716,GO:0055001,GO:0055002,GO:0055008,GO:0055010,GO:0055065,GO:0055074,GO:0055080,GO:0055082,GO:0055117,GO:0060047,GO:0060048,GO:0060249,GO:0060415,GO:0060537,GO:0060538,GO:0061061,GO:0065007,GO:0065008,GO:0065009,GO:0070252,GO:0070925,GO:0071840,GO:0072358,GO:0072359,GO:0072503,GO:0072507,GO:0090257,GO:0097159,GO:0097367,GO:0097435,GO:0097512,GO:0098771,GO:0098772,GO:0099080,GO:0099081,GO:0099106,GO:0099512,GO:1901265,GO:1901363,GO:1903522,GO:1990584	ko:K10371,ko:K12043,ko:K12044	ko04024,ko04260,ko04261,ko05410,ko05414,map04024,map04260,map04261,map05410,map05414	Z	Troponin(PF00992.26)
TRINITY_DN14390_c0_g1_i14.p1	False	False	0.0		OTHER	0		XP_046684781.1	XP_046684781.1 uncharacterized protein LOC12437053	57.0	3.70e-175	Homalodisca vitripennis	Uncharacterised ACR, YagE family COG1723	GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005739,GO:0006417,GO:0008150,GO:0009889,GO:0009891,GO:0009893,GO:0010468,GO:0010556,GO:0010557,GO:0010604,GO:0010608,GO:0010628,GO:0019222,GO:0031323,GO:0031325,GO:0031326,GO:0031328,GO:0032268,GO:0032270,GO:0034248,GO:0034250,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0044424,GO:0044444,GO:0044464,GO:0045727,GO:0048518,GO:0048522,GO:0050789,GO:0050794,GO:0051171,GO:0051173,GO:0051246,GO:0051247,GO:0060255,GO:0065007,GO:0070129,GO:0070131,GO:0080090,GO:2000112			S	DDE_3(PF13358.13);C21orf140-like(PF27940.1)
TRINITY_DN6327_c0_g1_i5.p1	False	False	0.06		OTHER	0												
TRINITY_DN6709_c0_g1_i2.p1	False	False	0.0		OTHER	0												
TRINITY_DN1735_c0_g1_i51.p1	False	False	0.0		OTHER	0		PNF14438.1	PNF14438.1 hypothetical protein B7P43_G01687 [Cryp	77.2	6.46e-60	Cryptotermes secundus	Serine/Threonine protein kinases, catalytic domain	GO:0000003,GO:0001101,GO:0001654,GO:0001745,GO:0001751,GO:0001754,GO:0002682,GO:0002683,GO:0002790,GO:0003002,GO:0003006,GO:0003674,GO:0003824,GO:0004672,GO:0004674,GO:0004713,GO:0004715,GO:0005488,GO:0005515,GO:0005575,GO:0005622,GO:0005623,GO:0005634,GO:0005654,GO:0005737,GO:0005783,GO:0006109,GO:0006111,GO:0006464,GO:0006468,GO:0006793,GO:0006796,GO:0006807,GO:0006810,GO:0006996,GO:0007049,GO:0007275,GO:0007276,GO:0007281,GO:0007292,GO:0007350,GO:0007389,GO:0007399,GO:0007423,GO:0007548,GO:0008104,GO:0008150,GO:0008152,GO:0008283,GO:0008285,GO:0009306,GO:0009314,GO:0009628,GO:0009653,GO:0009790,GO:0009880,GO:0009887,GO:0009889,GO:0009890,GO:0009892,GO:0009966,GO:0009968,GO:0009987,GO:0010033,GO:0010212,GO:0010468,GO:0010646,GO:0010648,GO:0010675,GO:0010677,GO:0010906,GO:0012505,GO:0015031,GO:0015833,GO:0016043,GO:0016301,GO:0016310,GO:0016604,GO:0016607,GO:0016740,GO:0016772,GO:0016773,GO:0018105,GO:0018107,GO:0018108,GO:0018193,GO:0018209,GO:0018210,GO:0018212,GO:0019219,GO:0019222,GO:0019538,GO:0019953,GO:0022008,GO:0022402,GO:0022412,GO:0022414,GO:0023051,GO:0023057,GO:0030154,GO:0030182,GO:0030717,GO:0031323,GO:0031324,GO:0031326,GO:0031327,GO:0031347,GO:0031974,GO:0031981,GO:0032501,GO:0032502,GO:0032504,GO:0032526,GO:0032940,GO:0033036,GO:0033993,GO:0034121,GO:0034122,GO:0034124,GO:0034125,GO:0035282,GO:0036211,GO:0042051,GO:0042127,GO:0042221,GO:0042461,GO:0042462,GO:0042802,GO:0042886,GO:0043170,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0043233,GO:0043255,GO:0043412,GO:0043484,GO:0043900,GO:0043901,GO:0044237,GO:0044238,GO:0044260,GO:0044267,GO:0044422,GO:0044424,GO:0044428,GO:0044444,GO:0044446,GO:0044451,GO:0044464,GO:0044703,GO:0045088,GO:0045184,GO:0045721,GO:0045912,GO:0046530,GO:0046777,GO:0046903,GO:0048468,GO:0048477,GO:0048513,GO:0048519,GO:0048523,GO:0048583,GO:0048585,GO:0048592,GO:0048609,GO:0048666,GO:0048699,GO:0048731,GO:0048749,GO:0048856,GO:0048869,GO:0050776,GO:0050789,GO:0050794,GO:0050896,GO:0051171,GO:0051179,GO:0051234,GO:0051239,GO:0051241,GO:0051252,GO:0051276,GO:0051321,GO:0051704,GO:0060255,GO:0061982,GO:0061988,GO:0062012,GO:0062014,GO:0065007,GO:0070013,GO:0070192,GO:0071702,GO:0071704,GO:0071705,GO:0071840,GO:0080090,GO:0080134,GO:0090596,GO:0140096,GO:1901564,GO:1901700,GO:1903046,GO:1905936,GO:1905937,GO:2000241,GO:2000242,GO:2000254,GO:2000255	ko:K08823		T	Pkinase(PF00069.32)
